BBBC005 cells,ground truth,GPT visual,GPT code,LLaVA,SAM Manual,SAM automated,Gemini
SIMCEPImages_A01_C1_F1_s01_w2.TIF,1,1,1,,1,1,10
SIMCEPImages_A01_C1_F1_s07_w2.TIF,1,1,1,,1,1,3
SIMCEPImages_A01_C1_F1_s16_w2.TIF,1,1,1,,1,1,3
SIMCEPImages_A01_C1_F1_s17_w2.TIF,1,1,1,,1,1,3
SIMCEPImages_A02_C5_F1_s04_w2.TIF,5,5,5,0,5,8,6
SIMCEPImages_A03_C10_F1_s10_w2.TIF,10,10,10,10,10,17,10
SIMCEPImages_A03_C10_F1_s21_w2.TIF,10,8,8,10,7,16,10
SIMCEPImages_A04_C14_F1_s04_w2.TIF,14,14,14,,13,22,17
SIMCEPImages_A04_C14_F1_s11_w2.TIF,14,13,10,10,12,18,10
SIMCEPImages_A05_C18_F1_s13_w2.TIF,18,16,14,,17,27,16
SIMCEPImages_A05_C18_F1_s25_w2.TIF,18,17,14,10,15,22,19
SIMCEPImages_A06_C23_F1_s02_w2.TIF,23,20,22,,21,31,31
SIMCEPImages_A06_C23_F1_s10_w2.TIF,23,18,19,,20,33,23
SIMCEPImages_A07_C27_F1_s04_w2.TIF,27,17,22,10,22,36,34
SIMCEPImages_A07_C27_F1_s20_w2.TIF,27,18,23,10,24,37,31
SIMCEPImages_A08_C31_F1_s01_w2.TIF,31,22,24,,27,46,31
SIMCEPImages_A08_C31_F1_s05_w2.TIF,31,24,27,10,23,34,16
SIMCEPImages_A08_C31_F1_s06_w2.TIF,31,19,27,15,25,39,23
SIMCEPImages_A08_C31_F1_s09_w2.TIF,31,21,24,10,21,34,23
SIMCEPImages_A08_C31_F1_s10_w2.TIF,31,19,28,100,25,41,31
SIMCEPImages_A08_C31_F1_s13_w2.TIF,31,23,26,10,28,41,26
SIMCEPImages_A08_C31_F1_s24_w2.TIF,31,25,24,,27,42,31
SIMCEPImages_A09_C35_F1_s11_w2.TIF,35,22,28,,29,47,31
SIMCEPImages_A09_C35_F1_s13_w2.TIF,35,20,29,,31,44,37
SIMCEPImages_A10_C40_F1_s15_w2.TIF,40,20,32,,23,32,31
SIMCEPImages_A11_C44_F1_s17_w2.TIF,44,27,29,,32,54,37
SIMCEPImages_A11_C44_F1_s23_w2.TIF,44,28,29,,30,52,34
SIMCEPImages_A12_C48_F1_s09_w2.TIF,48,23,31,,39,62,27
SIMCEPImages_A13_C53_F1_s01_w2.TIF,53,24,28,,37,50,52
SIMCEPImages_A13_C53_F1_s02_w2.TIF,53,27,31,100,40,63,27
SIMCEPImages_A13_C53_F1_s19_w2.TIF,53,31,30,100,37,52,57
SIMCEPImages_A13_C53_F1_s24_w2.TIF,53,32,28,100,35,55,37
SIMCEPImages_A14_C57_F1_s18_w2.TIF,57,27,35,100,38,52,38
SIMCEPImages_A16_C66_F1_s15_w2.TIF,66,25,36,100,46,71,92
SIMCEPImages_A18_C74_F1_s14_w2.TIF,74,33,34,,46,65,52
SIMCEPImages_A18_C74_F1_s16_w2.TIF,74,34,30,100,41,71,72
SIMCEPImages_A18_C74_F1_s17_w2.TIF,74,35,55,,45,69,53
SIMCEPImages_A19_C78_F1_s17_w2.TIF,78,29,24,,40,57,47
SIMCEPImages_A20_C83_F1_s04_w2.TIF,83,26,24,,35,69,72
SIMCEPImages_A20_C83_F1_s17_w2.TIF,83,65,44,100,49,75,92
SIMCEPImages_A21_C87_F1_s14_w2.TIF,87,37,59,100,44,64,117
SIMCEPImages_A22_C91_F1_s01_w2.TIF,91,38,34,100,39,65,27
SIMCEPImages_A22_C91_F1_s13_w2.TIF,91,33,52,100,35,65,63
SIMCEPImages_A22_C91_F1_s14_w2.TIF,91,34,42,100,35,69,92
SIMCEPImages_A23_C96_F1_s05_w2.TIF,96,60,36,,49,89,123
SIMCEPImages_A23_C96_F1_s19_w2.TIF,96,39,94,20,41,71,132
SIMCEPImages_A23_C96_F1_s23_w2.TIF,96,40,56,100,41,78,132
SIMCEPImages_A24_C100_F1_s20_w2.TIF,100,36,57,100,36,62,116
SIMCEPImages_A24_C100_F1_s24_w2.TIF,100,35,44,,51,101,128
SIMCEPImages_A24_C100_F1_s25_w2.TIF,100,95,49,100,43,69,92
